availability_id,availability_30,availability_60,availability_90,availability_365
978,9,19,35,310
979,0,0,0,0
980,22,49,56,309
981,23,39,52,316
982,20,30,34,269
983,26,56,86,133
984,14,24,32,269
985,15,32,41,291
986,23,52,76,201
987,21,34,64,245
988,0,0,0,0
989,21,39,59,333
990,13,28,39,291
991,21,35,43,286
992,19,36,56,146
993,23,50,76,76
994,16,16,16,16
995,12,25,54,329
996,20,39,67,67
997,10,40,68,68
998,27,50,78,181
999,25,46,65,335
1000,15,40,68,343
1001,30,55,85,360
1002,7,25,43,299
1003,29,29,29,29
1004,16,16,16,16
1005,16,16,16,16
1006,28,58,88,363
1007,29,29,29,29
1008,21,21,21,21
1009,16,46,76,351
1010,15,41,71,346
1011,5,14,36,296
1012,5,17,33,115
1013,0,0,26,26
1014,15,38,58,333
1015,29,29,29,29
1016,5,23,42,300
1017,2,32,62,337
1018,30,60,90,365
1019,22,22,22,22
1020,23,23,23,23
1021,29,29,29,29
1022,12,12,12,12
1023,29,29,29,29
1024,9,32,44,302
1025,13,34,62,62
1026,0,0,0,124
1027,5,13,32,118
1028,4,11,17,43
1029,1,31,61,61
1030,1,6,10,245
1031,27,27,27,27
1032,7,30,53,328
1033,0,0,0,0
1034,30,60,90,365
1035,9,27,27,99
1036,21,45,69,75
1037,23,46,71,342
1038,11,11,11,11
1039,13,13,13,13
1040,29,29,29,29
1041,29,29,29,29
1042,29,29,29,29
1043,15,37,58,333
1044,28,28,28,28
1045,16,16,16,16
1046,13,35,53,143
1047,0,0,30,305
1048,29,29,29,29
1049,16,44,74,349
1050,21,43,63,329
1051,5,24,45,308
1052,28,28,28,28
1053,28,58,88,363
1054,16,16,16,16
1055,26,26,26,26
1056,29,29,29,29
1057,29,29,29,29
1058,29,59,89,89
1059,1,1,1,1
1060,28,58,88,363
1061,0,0,0,151
1062,29,29,29,29
1063,21,51,81,171
1064,19,49,79,169
1065,7,25,47,190
1066,24,47,62,62
1067,15,45,75,350
1068,11,35,65,155
1069,16,16,16,16
1070,27,27,27,27
1071,16,38,67,186
1072,30,60,90,365
1073,9,14,33,300
1074,29,29,29,29
1075,0,12,35,205
1076,19,47,75,350
1077,29,29,29,29
1078,22,42,57,57
1079,29,29,29,29
1080,24,45,63,333
1081,29,57,84,359
1082,10,19,33,99
1083,0,0,0,0
1084,16,36,57,144
1085,0,30,60,60
1086,4,4,12,12
1087,0,2,32,32
1088,0,0,0,122
1089,27,27,27,27
1090,16,16,16,16
1091,16,16,16,16
1092,16,16,16,16
1093,29,59,84,352
1094,15,15,15,15
1095,29,29,29,31
1096,18,37,55,57
1097,3,7,17,263
1098,26,56,86,361
1099,8,23,42,316
1100,6,30,60,121
1101,23,47,77,352
1102,28,58,88,88
1103,16,46,76,166
1104,26,26,26,26
1105,29,59,89,179
1106,9,19,28,294
1107,24,54,84,352
1108,12,29,50,134
1109,18,36,62,62
1110,0,0,0,0
1111,27,47,77,77
1112,29,29,29,29
1113,18,34,49,322
1114,0,0,0,122
1115,30,60,90,365
1116,6,18,45,320
1117,29,29,29,29
1118,16,16,16,16
1119,19,49,79,354
1120,0,0,30,30
1121,8,29,42,299
1122,29,29,29,29
1123,2,15,35,306
1124,15,32,49,305
1125,25,52,77,352
1126,0,0,0,0
1127,19,36,66,341
1128,29,29,29,29
1129,26,26,26,26
1130,14,35,58,146
1131,15,38,65,337
1132,26,53,83,354
1133,29,29,29,29
1134,15,38,68,158
1135,30,60,90,365
1136,0,0,0,0
1137,23,51,78,353
1138,22,41,70,345
1139,17,38,65,65
1140,11,32,59,326
1141,0,14,27,154
1142,30,60,90,365
1143,0,0,0,0
1144,0,0,0,0
1145,26,47,74,343
1146,29,29,29,29
1147,29,59,89,364
1148,9,19,39,287
1149,22,22,22,22
1150,16,16,16,16
1151,30,60,90,361
1152,30,60,90,365
1153,30,60,90,365
1154,15,32,47,138
1155,30,60,89,89
1156,23,23,23,23
1157,1,2,32,307
1158,30,60,90,365
1159,30,60,90,365
1160,9,30,59,331
1161,29,29,29,29
1162,4,26,53,115
1163,24,47,77,166
1164,15,15,15,15
1165,29,59,89,364
1166,13,36,60,333
1167,11,11,12,287
1168,0,0,29,304
1169,8,22,33,79
1170,2,9,24,93
1171,9,25,52,327
1172,0,0,22,297
1173,15,40,70,345
1174,1,1,31,306
1175,27,57,87,362
1176,5,18,38,312
1177,29,29,29,29
1178,29,29,29,29
1179,13,26,52,308
1180,20,46,76,351
1181,14,37,59,328
1182,30,60,90,365
1183,3,15,27,275
1184,9,25,43,317
1185,23,51,77,77
1186,6,24,41,316
1187,29,29,29,29
1188,4,12,33,295
1189,30,60,90,365
1190,30,52,79,348
1191,9,19,27,292
1192,0,0,0,0
1193,11,35,56,146
1194,16,35,61,61
1195,10,29,56,331
1196,16,16,16,16
1197,27,27,27,27
1198,29,29,29,29
1199,20,39,69,344
1200,0,0,22,297
1201,6,26,54,144
1202,30,60,90,365
1203,9,9,9,234
1204,1,27,57,57
1205,30,60,90,365
1206,0,11,41,316
1207,13,29,59,334
1208,27,57,87,176
1209,29,59,89,364
1210,10,21,51,326
1211,10,21,51,326
1212,30,32,62,337
1213,29,59,89,179
1214,27,57,87,362
1215,19,49,79,354
1216,17,47,77,352
1217,12,33,36,90
1218,30,60,90,365
1219,16,40,70,345
1220,25,55,85,360
1221,24,54,84,84
1222,13,43,73,73
1223,17,45,75,75
1224,30,60,90,365
1225,10,16,37,37
1226,5,32,32,32
1227,1,24,54,112
1228,26,56,86,360
1229,30,60,90,365
1230,6,35,47,121
1231,21,51,81,81
1232,29,59,89,89
1233,30,60,90,90
1234,30,60,90,365
1235,26,56,86,176
1236,19,49,79,354
1237,0,0,9,9
1238,25,54,54,54
1239,30,60,90,365
1240,15,45,75,350
1241,0,0,3,278
1242,0,0,0,0
1243,0,28,58,326
1244,30,60,90,365
1245,30,60,90,365
1246,23,53,83,172
1247,28,58,88,306
1248,30,60,90,365
1249,0,24,53,53
1250,24,32,32,252
1251,29,59,89,121
1252,0,29,59,334
1253,29,59,89,364
1254,25,55,85,304
1255,26,56,86,305
1256,15,42,69,274
1257,24,54,84,84
1258,18,48,63,333
1259,2,32,62,337
1260,9,39,56,56
1261,30,57,87,337
1262,22,52,82,355
1263,14,14,14,14
1264,23,53,83,83
1265,30,60,82,357
1266,24,54,84,342
1267,23,53,82,82
1268,23,53,83,347
1269,28,57,82,357
1270,27,57,87,87
1271,0,0,0,166
1272,19,46,69,341
1273,23,43,53,188
1274,7,24,52,278
1275,19,49,79,354
1276,13,43,73,226
1277,0,0,0,32
1278,9,37,67,67
1279,22,52,82,357
1280,0,0,0,0
1281,16,28,38,303
1282,23,53,83,358
1283,10,38,42,123
1284,10,13,16,79
1285,0,0,0,0
1286,30,60,90,365
1287,30,60,90,365
1288,0,0,0,175
1289,15,20,21,284
1290,0,5,35,310
1291,30,60,90,365
1292,0,0,14,14
1293,9,35,65,340
1294,0,0,0,0
1295,0,0,0,0
1296,0,0,0,122
1297,0,0,0,185
1298,30,60,90,179
1299,0,0,0,0
1300,0,1,31,31
1301,20,48,75,350
1302,0,0,0,0
1303,0,0,0,0
1304,1,5,10,239
1305,14,33,53,313
1306,27,57,87,362
1307,0,21,51,326
1308,25,53,83,83
1309,7,20,28,90
1310,29,59,88,337
1311,17,47,72,347
1312,0,0,0,0
1313,27,39,69,344
1314,17,32,45,320
1315,27,57,87,177
1316,28,28,28,211
1317,0,0,0,0
1318,24,24,24,279
1319,30,60,90,365
1320,0,0,0,0
1321,24,53,53,175
1322,16,43,69,344
1323,30,60,90,365
1324,23,53,83,358
1325,0,0,0,0
1326,6,19,29,105
1327,15,15,15,15
1328,10,21,51,162
1329,30,60,90,180
1330,27,57,87,118
1331,0,0,0,0
1332,0,1,19,272
1333,0,0,0,0
1334,0,0,0,262
1335,2,25,55,330
1336,28,56,86,341
1337,20,46,76,166
1338,0,0,0,0
1339,5,5,5,94
1340,10,40,70,70
1341,18,48,78,342
1342,13,29,59,65
1343,0,0,0,0
1344,30,60,90,90
1345,0,0,0,0
1346,30,60,90,180
1347,23,51,80,355
1348,25,48,63,331
1349,0,0,0,0
1350,30,60,90,365
1351,0,0,0,256
1352,20,50,75,336
